Name,ID
Pakaflocka,133058006
SvomaxF,108819349
wizduylioson,109908322
GamzPewpew,168701854
KvaraF,16025411
Tientien96,25989347
Фусяfarm1,125396696
Janso Farm,159355355
AnotherJanso,161280701
ESCANÓR9,15856048
Buwcioo Farm2,167285334
Buwciooo Farm,161930829
SweetGuySki,82962351
ËŠČÄŇÔŘ5,45133530
ᵃᴰStranger,108930028
ESCANOR3,33529854
ESCANOR8,33720777
Babyrock,42919143
ËŠČÄŇÔŘ2,49414465
Jimbo farm,130834353
ËŠČÄŇÔ7,33529851
AoiKazeMini4,184087025
Tiên Tiên 20,71260409
ESCANOR4,43410276
Lyodd I,84034406
LittleBuckcali,81366891
AoiKazeMini3,184086986
عaziz,20170142
ËŠČÄŇÔŘ6,54560192
RockFarm2,54999992
MKUnionGRITTY,101200532
ᴰᴬᴿᴷ๑,19086550
desco4,111076839
PR3Dtiny,14667991
desco3,122709945
ᵃᴰzZz O,108094458
骰仔,62416582
Tazzo,148101906
68 Tiên Tiên,56885811
ᴾᴸTomoJr,116275855
TazzoFarm1,184264621
KvaraaF,101584470
Gølîath,14584769
ᴾᴸTomojr,104442658
slevin kelevra,101741224
Solborth,108102849
ɴᴇvsᴋʏʏﾏ,91022605
protoxyde97,103796048
вещий,108057934
TientienE,163116396
66 Tiên Tiên,50391067
12 Tiên Tiênn,116138411
BREJDUS,109566423
Ta Tin,108149329
roderik1995,108144186
Garic1974,108128446
Dr Usamaaa,131273948
BorisHA,146138516
ᵃˣˢ AXom G9,150465373
smol PR3D,92623583
Jnm4,91779949
Nasonice SSR,70518332
83 Tiên Tiên,70302909
RoverRock,55268580
ᵃᴰ S Fill,47971753
74 Tiên Tiên,178863569
56 Tiên Tiên,11120307
Tiên Tiênnn,194494390
RedSeamus,99609257
Clorinde,107231646
ˢˣsHoToOvaL,149472966
Optimus ᴾʳ,3545672
AngryBEAVER,17725654
EagleEyes85,138813677
TC Alikaan,65557375
父ANUBIS父,86408330
ˢˣ CHOPPER,96391822
ᵉᴸᵛ,74854675
Ultimate Exodia,127379555
Legions of Old,97887232
Pablo Es1,95779507
Flux Chemist,43522053
Z3ÚÇ,5247080
BANES REVENGE,39149226
ANUBISヅ,112256583
ᴰᴷELEMENTER,144468139
STIFLERᴾᴸ,111976346
Ɓritteŋ,130708647
ᵃᴰ SCOTS,12393744
Ragaaz,105751799
ᴿᴷSirArref,138751456
Eak93,97694415
ᴴᴿKhánhSky,158577581
ᴾᴶ Saladin,116322101
IamReturn,34316041
Luluツ,98430618
El Hermoso01,63216858
lil gem,27685597
PlWO,95987204
Hachac,86521351
HARON,87207251
JunkFisk,105188318
thelord of dark,65363176
L U C K ジ,5342340
ᵛᶰzipp,138783484
Killqw,21080486
ᴾᴶBUAYAea,65378483
Gabuschi,80922644
ᵛᶺWarofdead,107504323
CouchyWouchy,19835640
乄Mo乄,79941214
メ ANUBIS メ,89300180
ᴸᵁ PITBULL,8460062
Shinobi XX1,83021032
ᵐᵇTariq,117884044
ᴾᴮ Dougal,133191553
Saladin City,57679998
AsherBringer,59315501
Dutch82,14279907
Governor98284371,98284371
Hella 义,96002340
Sigmera,130981592
PaPaDreadNaut,76131702
Qiyanä,104209373
ˢˣ PARSA,124953438
vicgodlevelmx93,70450546
XxTheHunterxX,148755145
GiGi24S,147896490
Heresy 亗,99526339
sanxiu,69735208
Seiちょ,43926484
ᴾᴶ Xenia19,69741510
pop son,64293878
shery29,95936599
Uncle Gump,76140232
Kubali,86968715
HANNIBAL001,14769031
Нarley Quinn,58532591
RED SERG,10330569
Ukraine10,95436098
Gwen Angel,66469424
Tiny Tim 81,48943305
REDhead,14752053
S0UL R3BORN,18113885
TiKk,152980746
乄燴烬乄,59318649
Mr Shelby 义,154711805
C e n,135152207
ᴸᵁ Joker,150875358
ᶻCaptain Rex,95422187
DiabeTea,101010158
ĐàŔk Š0ūĽ,159263439
NaughtyGuySki,55379529
ᵒˢ sat1vo,148204565
卄BLACK 乄 A5,119566188
obtermos,158042383
Delagos,164005286
NOUR ALI IQ,88977029
Teko94,146568484
Asendedsleeper,77300774
aslancimbom,126695923
ƘʝąƦą80,106870295
Oblivi0n,15715837
魂 Toji,175619114
ᵀᵂ Sanko7,107371673
GenerlDreadNaut,79158094
sђinon,115413437
ᵀᴿ Paladin,149362764
ʳᶻCOLOMBIA,121223382
Arfnett,58215648
Gordian Knot,111904455
Panca I,63633326
Jnm2,79887132
SirᴹᴹDLIV,139966154
TutzMM,102652170
KṃZoik daVast,111194565
ᴳᴰ彡 Ryota,167172139
xxJoe1xx,112250996
Dankruso,21005142
Alyn Sen,116784212
Xenanlol,152985963
ᶲᶫ LEONARD,128511813
papawolf,112039992
Mey daうんnature,58450081
FleshCrevice,86409747
Bromo Semeru,30185303
LUUCCAAS,132458838
Jrodd,162169790
MARWAN ALTAMIMI,107265864
ᵖʰ ShypeR,114489712
ᴴᴷOldKing,126097250
lordghir,111934129
ABo ATB,125998726
ᴮᵂErmak,120131426
SSLazio1900,138710615
Lmmns,110541688
PLB COBY,108125952
xGLaDiaDoRx,17738503
KimLoRD III,108276616
PROBABLY AFK,39099972
ᴿᴿOmmustang,138776679
AHMET56,154087033
ᶠᵀGrzešø,87656905
ᵀᵀEmiliyan,151280079
Amamiya Kiyodai,105593858
magıc,158601123
LtDreadNaut,96977700
LordMaster21212,133981967
maurya lit,141168326
CafèSancho,81488954
ᴾᴶBuayaea2,67717715
ᴾᴶNIBONG,70859695
Dutch82Siege,20743463
Black Sails,141244814
Harryshome,53565620
REDhead 2,47286828
ᴸᵁSmileyツ,149025050
TomTomTom,10455399
亗Just Mo乄,111121939
costa kz,110666489
Zzz  Ziyu  zzZ,92578123
FurinaT4,107772793
SalaDDin,119599331
PerimeTr,147237685
MaharanaPanca,33346211
Jnm5,108491041
Delagos II,165317446
せいちょ,99911891
亗JustNitRo乄,63092612
Ironside Reborn,111964409
quacksg1,107250796
Taok1,111987552
Quackg2,63884857
Loki0666,158320915
ANUBIS ʸ,104104160
ANUBISᶜ,116112803
CaptDreadNaut,128371948
lil gem 2,130893460
TC AliKaan,40631005
ᴾᴶBuayafarm,73160214
ANUBIS ᵉ,93348850
RO1NA,112332355
ANUBIS ˣ,93356354
farmᵈᵉLulu2,101674730
AoiKazeLu,106390932
亗SlimWilko亗,36767431
oldman2,27828855
Arrz,153952914
FontorB,49597903
๑ANUBIS๑,88071913
DownforIt,173300055
ANUBIS ˢ,89145789
SpicyGuySki,187330874
REDhead mini,85986938
GC Gump Jr,80750850
rss farm 1,154967955
RockBoxLunch,44505640
ƘİąRą80farm,109431378
F0restSLS,134191853
김세정 sejeong kim,80710257
ᵁᴳgodzillā,96145100
Harrysfarm,91618633
HARON lite,105819888
Mammuth44,94787315
aD pitbull 4,46042974
Hrvey10,112445208
SgtDreadNaut,128969188
aD pitbull 5,10285143
BANES 亗,107580031
aD pitbull 6,4591782
ᴹᴷJoker xv,150144606
cutie angel,84701725
aD pitbull 7,9191186
PabloMini,97453992
Garcia15,111961458
Takayanagi,112005309
PvtDreadNaut,163691520
SSgtDreadNaut,161783997
PSJA DEALERSSS,51853920
ᶜʰᵘLo Ü,112443218
PIWO,184836517
xLeoNiDaSx,20654129
CplDreadNaut,164290842
Wnzˢᵀᴾᴰ,181805713
BatuhaN36,59285316
GSgtDreadNaut,172709537
sḩinon,106678996
quacksff,96453008
DownFarm,60311822
Hąrley Queen,75593137
aD pitbull 8,60366167
1 STIFLER 1,122900439
Saladdin farm3,126103335
ɪᵃᵐSeiちょ,47366885
Gumppster,129033177
Tikk 2,158926989
Ragaaz 2,169360675
Shinobi XXF,84361576
aD pitbull 9,12857641
Sanko7 Farm,53566890
乄Asher乄,37165321
Governador111835867,111835867
MiNiY0,68360846
Couchy Stone,186210729
aD pitbull 11,154555605
Saladdin farm 2,126374043
HarIey Quinn,96052680
aD pitbull 10,62618104
Pintor austri,111852341
MiniWilko,137471981
black sails 2,151135182
Ragaaz5,69166236
S0UL R3B0RN,88696443
aD pitbull 12,97648079
乄Asher VI 乄,177033136
Qiyana farm,72184115
STorm,9987614
Roina farm 1,112755056
Asp3ct09,112514387
aD pitbull 13,124719251
乄Asher III乄,177032495
sḧinon,120201704
Ramoxan,111971865
Governador33737913,33737913
PSJA Ghani 1,92162704
Правитель111981155,111981155
Akaxin777,103105711
sheryy29,150172532
khánhskyfarm90,190098113
Asher farm 2,37347270
farmᵈᵉLulu3,185240266
ÐăŘĶ Şo2,160889793
爪ȺnOwȺɌIII,48816271
Shinobi FX3,90085131
2lｕｃｋジ,8223716
ClorFF,177741381
Pablo2mini,145371744
乄Asher,38884192
Little义Hella,137961519
Koma666,159677023
WiLLiam WaLLace,68328715
ᴸᵁSmiley ツ,153517823
SaltyGuySki,106079750
HoMse1,208297488
Mr Shelby 1 义,165714421
ClorFFF,177741608
INA NitRo Farm,88494375
爪ȺɴOwȺɌV,137239422
L u c k ジ YNG,99935744
ELEMENTERFARM,144497027
爪ȺɴOwȺɌIV,49696642
LightOfGod27,111943697
DeaDPoOL,14616635
GLaDiaDoR,171101411
Ken270809,28981058
Shinobi FX4,87671234
FleshCrevice4,177823578
MaD Mo,123312684
0 STIFLER 0,129985135
ragaaz 3,62717414
亗 BANES 4,189685609
NitRo farm9,204784235
ɪᵃᵐseiちょ,49797897
MKUnion2010,106807122
ÐSR,111950447
Ragaaz 4,159250902
STIFLER 2,136552290
Gobernador111852014,111852014
AegoN Targaryen,54578443
FreëPalestine,7906267
TingoblackPrime,48257996
ILoveL,55348064
气Killdowner,161004407
ツ Zerø ツ,98784503
TOM  CAT,45227155
KraL eXXe,82700651
King Tots,49981952
Dark气Angel,11139334
亗 Thug life,161949184
ᴳᴬVál,170084521
ᴺᴸNisonna,161004263
ᴺᴸMédusa,160930963
Coup de chance,17488784
ᴺᴸXiao Yan,161402992
KHRUN,144310998
FrenchFries,141602930
ᴳᴬProphecy,170060354
Brutal26,136269394
亗ᴺᴸARMOR,161180617
Panther㋡ ᵀᴹ,26360033
ᴺᴸDrRANGA,161562191
ᴬᴷFatShark,121191059
ᴾᴴOmbrakato,163062863
Humming Wizard,75126260
ᴺᴸQueen,59417349
ᴺᴸAskar,161061404
SleepingGiant26,16064284
Humming Titan,48222613
Humming Soldier,46357058
Tyfr,157431377
ᴺᴸ R 乂ID,161573299
Dani the bad,72320776
ᶦᵛH4G0,157993866
ᵀᴿGENERAL60,156101773
ᴳᴬ HYDRA,158603054
FinDuss,157691829
ᴬᴷBigShark,135665589
义Lirael义,108604577
Ali Sorena,65848162
Snazzyduck,144613731
KESHᴺᴸ,62629775
メCHEMA,116892315
Löwenherz F2,136470339
ˣᶦᵛNoctæ,137516238
ᴺᴸXiao Yan2,161402533
KüL,156652866
Kɪʟʟᴇʀ メ,162439500
Avocadah,161550890
Coup de pouvoir,8104697
Flagfiller123,20529426
DrRANGA2,163337733
Coup de force,4724030
STEPAN 86,161650539
TOM  CAT I,59592055
Potatof1,92364385
彡lucif,162236538
Minato12,156930812
ᴳᴬ HYDRA2,159499963
ARMOR gold,153278610
RDR2fan,161655580
khrun 0,144717961
ARMOR wood,161887401
ˣˣxˣˣxˣˣ,154951448
Queens Betch,161107409
전설의좍슨,161612290
ManoMpm,73055349
Humming Goblin,75600563
50 million23,150617314
Coup de grâce,103987429
ldv hunter,161630358
Humming Dragon,78309832
ViktorBH,161645324
TOM CAT II,66721833
ᴺᴸDigor XD,161247874
Ƒʳ Freya,188747481
Drfeelgood445,160409156
jeanerick0987,161603674
Tùng rss,45690734
亗 Thug lifee,186131982
ᴬʸ Zerøツ,183481259
ᴳᴬFénrir,171310676
UmbrãNoct,110884424
waddle80880,161594614
G30S,161553538
jsjska,156399460
ᴺᴸDEATH,161689098
TiSHkaツ,161140239
Mad Tîtan,78585589
ᴬᴷSharkFarm,161677936
Dani the bad 1,74710344
UmbråNoct,81088158
AegonViseny,72680376
CutieJinx,161169564
khrun 1,183695902
KraL eXXe Farm,192489206
Gri6ok,163082079
KosiarzMAX,161582182
VisenyTargaryen,58646376
Dani the bad G2,159848439
H4farm bærinn,158003167
ᴸᵒˢLõLõ,79849823
F1 Ombrakato,166720512
Gerardo1323,161669863
Dani the bad G6,78663118
Mano Farm acc,73054007
Brutal3,172867280
yoosof,161593869
TOM CAT III,68245908
Xiao Yan4,161822161
Dani  BadFood,101729290
Dani the bad G1,75660857
ᴼᵀ mooj,161614320
ᴳᴬFáfnir,171294978
亗ARMORfood,184931111
Gobernador138644666,138644666
Xiao Yan3,161402268
ᴳᴬGármr,170082891
FTbielaura1,52901095
Gengar WW1,37699263
Caius Adonis,161619374
Potatoalt2,56646581
ᴳᴬGérí,171311028
ᴳᴬFrékí,171216875
Potatof3,141948696
sagaf333,161613725
Dani the badf8,72537117
Potatof4,159143572
blëssëď,71835265
Governor161029692,161029692
KɪʟʟᴇʀF1,163071463
Brutal2,169815842
37 Farm,131982270
RipR1pl3xx,161613868
GrainProphet,171119050
Sahpkpas,154031161
ᴼᵀTweLve,161221210
Brawler NRG,161666968
Dani the bad g4,78610522
Brutal4,177466346
Humming Knight,106868868
Tyfr72farm,166835387
Xiao Yan6,161496911
Xiao Yan5,161822160
Ali Sorena farm,57420860
Dani the bad f9,108902419
Huy123A,161569326
ᴳᴬSléipnir,172352001
KraL eXXe Farm2,169135417
Dani the bad f2,85679241
GoldProphet,169269912
ᵀᴿMotra,103032107
Mibing,161196373
khrun 6,182012518
UmbräNoct,133626601
Petit coup,107887820
LICH11,161627095
KiNgMeN,150711400
king AO007,139069049
Potatof6,192145163
ang probinsyano,161556782
Правитель161581608,161581608
khrun 5,183697443
F2 Ombrakato,152196694
khrun 4,184656429
FaZeduck,161667718
Dani the bad f8,105175984
Humming Chimera,142303596
Potatof5,160320615
Targaryen001,172311671
Bigshark 3,130119306
Targaryen003,172330665
Mad Tîtan II,167421341
Targaryen002,172331556
Targaryen004,172329633
Dani badf2,84000071
Targaryen005,172317095
Fokin2,161681362
Penfoldspartus,184472150
Targaryen006,172312780
ผู้ว่าการ161679273,161679273
Targaryen010,172310864
Targaryen0007,172314540
Ali Sorena f2,62403035
Targaryen008,172313237
Targaryen009,172312259
Mae444,211421930
khrun 2,172252493
Humming Wolf,142320678
Targaryen011,170343897
bbQueen4,93858443
Dani the bad F7,74707136
Julian1042,160806689
khrun 7,188243377
askar999 farm,164357726
Vladislavlol3,145405460
khrun 3,172252267
Governor94154676,94154676
Puffen,161604208
Kemo3Tonto,95177684
Big shark 2,137727117
DarksSlave,80705698
SigmaKing17,153921475
PApri,157642892
Brutal1,206303442
ZanileYunus297,161577975
Thống đốc169804629,169804629
37 Farm 2,108298568
Governador160124647,160124647
Potatof12,162980132
Bigshark 4,171598666
LizenzTropfen78,161639205
Governor161181951,161181951
Coup de loin,174408456
Gobernador163170961,163170961
Hamad 2,161590700
Golds farm2,158971038
Vali161147641,161147641
Coocoup,174414595
Halynhhh,161562644
Kütül,161631720
Hąrley Quinn,107143787
panino2378,161667399
亗 Guardian ツ,161658693
ZFelipeZombieZ,161850139
Dani will killu,161673434
Potatof7,158947224
Potatof11,93217295
Governador161780372,161780372
Coup par coup,14291048
Coup de farm,210905734
Potatof8,192821606
Gouverneur157785265,157785265
VINNCITORE,161626753
Vali161310834,161310834
Governador161602700,161602700
Governor161573095,161573095
Governor147166175,147166175
Правитель106760361,106760361
Governor161236524,161236524
Regno Yuma,165242838
bisanzino,161639891
Gubernur108960109,108960109
Governor163913959,163913959
babymuhayyel,125218714
Aslan BERAT,161591498
Bijou Mira,147840391
Le coup,215394969
Coup de truc,211072670
kelon777,161574800
Shafank chuu,161669015
farm2o,161173510
Coup de feu,215403494
Правитель161603218,161603218
Governor161113991,161113991
Governor161573287,161573287
Governor88466418,88466418
Aquiles67,161605106
Coup de vent,215470704
ds ve tiki,161628928
Gobernador161663558,161663558
Donald vanh,161641137
THC DarthBlue15,218127720
KaanBey,161667106
roccou,161665085
DatAngelo,163621898
Gubernur29071875,29071875
Javi 234,161557508
Adex,161648673
Thống đốc161614363,161614363
الحاكم162265904,162265904
xZoro24k,162961279
Governor161651596,161651596
Vali161627811,161627811
sahpkpas farm,169010955
Gubernur161684687,161684687
APOLEİTE,161582481
F3 Ombrakato,215553322
Thống đốc161150092,161150092
KADIKÖYBOĞASI,161569675
Médusa farm,192535777
Khoi160812,161621753
Gobernador161664649,161664649
Governor161549394,161549394
king Tristan,161653736
Thống đốc136390606,136390606
Правитель161602280,161602280
Geova,161746313
ItsSam1,161598572
King Tots 2,159227612
zmnoko,161621581
Правитель161553652,161553652
AlgenPedro Farm,193154898
Gouverneur161642715,161642715
arrisuprah,161654417
Gobernador161667178,161667178
Thống đốc166578543,166578543
Governor161580587,161580587
